POOL_ID	POOL_SIZE	FREE_BUFFERS	DATABASE_PAGES	OLD_DATABASE_PAGES	MODIFIED_DATABASE_PAGES	PENDING_DECOMPRESS	PENDING_READS	PENDING_FLUSH_LRU	PENDING_FLUSH_LIST	PAGES_MADE_YOUNG	PAGES_NOT_MADE_YOUNG	PAGES_MADE_YOUNG_RATE	PAGES_MADE_NOT_YOUNG_RATE	NUMBER_PAGES_READ	NUMBER_PAGES_CREATED	NUMBER_PAGES_WRITTEN	PAGES_READ_RATE	PAGES_CREATE_RATE	PAGES_WRITTEN_RATE	NUMBER_PAGES_GET	HIT_RATE	YOUNG_MAKE_PER_THOUSAND_GETS	NOT_YOUNG_MAKE_PER_THOUSAND_GETS	NUMBER_PAGES_READ_AHEAD	NUMBER_READ_AHEAD_EVICTED	READ_AHEAD_RATE	READ_AHEAD_EVICTED_RATE	LRU_IO_TOTAL	LRU_IO_CURRENT	UNCOMPRESS_TOTAL	UNCOMPRESS_CURRENT
0	1024	0	1014	379	644	0	42	0	0	63927	33674412	6.363057903826925	5465.594036905736	18402214	21247	3759740	3051.540769020998	3.090628124715935	455.68584674120535	63691404	695	0	546	0	3611	0	0.545404963185165	175212	2038	0	0
0	1024	0	1021	388	829	0	24	0	3	64147	33728920	21.997800219978004	5450.25497450255	18434391	21280	3764661	3217.378262173783	3.2996700329967004	492.050794920508	63804027	715	1	483	0	3623	0	1.1998800119988002	176430	732	0	0
0	1024	0	1022	396	741	0	6	100	0	64275	33782085	4.998333888703765	6082.305898033989	18464202	21323	3769518	3253.2489170276576	2.665778073975342	506.4978340553149	63904894	699	0	563	0	3625	0	0.33322225924691773	177382	870	0	0
0	1024	0	1021	395	612	0	25	0	0	64445	33838879	16.998300169983004	5678.832116788321	18494884	21360	3774278	3067.893210678932	3.6996300369963007	475.9524047595241	64006566	699	1	558	0	3628	0	0.29997000299970006	178140	1013	0	0
0	1024	240	782	268	449	0	6	100	0	64620	33889900	15.907644759567313	4637.851104445051	18524345	21384	3779857	2678.0292700663576	2.18161985274066	507.1357149350059	64111049	719	1	488	0	3636	0	0.72720661758022	177080	2363	0	0
0	1024	133	888	347	555	0	22	40	0	64734	33945263	11.398860113988603	5535.746425357464	18556539	21416	3784980	3219.0780921907813	3.1996800319968006	512.2487751224878	64219565	704	1	510	0	3642	0	0.5999400059994001	176196	463	0	0
0	1024	0	1021	396	860	0	32	100	0	64923	33995320	18.898110188981104	5005.199480051995	18586987	21448	3789633	3044.495550444956	3.1996800319968006	465.25347465253475	64325084	712	1	474	0	3654	0	1.1998800119988002	173221	2801	0	0
0	1024	0	1020	394	757	0	28	0	0	65061	34043925	12.544314153258796	4418.234705935824	18615142	21479	3794611	2559.312789746387	2.8179256431233526	452.5043177892919	64420960	707	1	506	0	3662	0	0.72720661758022	173053	1666	0	0
0	1024	0	1019	394	698	0	36	0	0	65127	34103060	6.498375406148463	5435.641089727567	18646139	21512	3799455	2856.0359910022494	3.4991252186953257	510.3724068982754	64523287	697	0	577	0	3668	0	0.2499375156210947	172991	2884	0	0
0	1024	8	1012	387	785	0	36	1	0	65302	34154305	17.498250174982502	5123.987601239876	18675473	21545	3804376	2933.106689331067	3.2996700329967004	492.050794920508	64626056	715	1	498	0	3675	0	0.6999300069993001	170760	448	0	0
0	1024	0	1018	385	699	0	40	0	2	65483	34204069	18.098190180981902	4975.9024097590245	18703957	21566	3809098	2848.115188481152	2.0997900209979004	472.1527847215279	64720281	698	1	528	0	3686	0	1.0998900109989003	168089	1119	0	0
0	1024	66	955	372	465	0	33	0	0	65601	34254246	10.726297609308245	4561.130806290337	18732268	21595	3813845	2573.493318789201	2.6361239887282975	431.506226706663	64812470	693	1	544	0	3692	0	0.545404963185165	168524	1356	0	0
0	1024	3	1018	391	689	0	25	100	0	65750	34301921	14.898510148985102	4767.023297670234	18759441	21623	3818688	2717.028297170283	2.7997200279972003	484.25157484251577	64905685	709	1	511	0	3697	0	0.4999500049995001	163873	387	0	0
0	1024	17	1005	379	680	0	30	2	0	65891	34354710	14.098590140985902	5278.372162783722	18789953	21662	3823783	3050.894910508949	3.8996100389961006	509.4490550944906	65008366	703	1	514	0	3702	0	0.4999500049995001	165363	304	0	0
0	1024	0	1021	390	750	0	22	0	0	66047	34403670	7.998400319936012	5144.5710857828435	18817732	21700	3829005	2927.2145570885823	2.7994401119776042	484.9030193961207	65102871	697	0	533	0	3713	0	1.1997600479904018	162405	3146	0	0
0	1024	0	1021	396	714	0	27	2	0	66157	34453417	10.998900109989002	4974.2025797420265	18845033	21729	3833935	2729.82701729827	2.8997100289971005	492.9507049295071	65197025	711	1	528	0	3716	0	0.29997000299970006	161269	256	0	0
0	1024	0	1019	396	809	0	59	0	3	66304	34501606	14.698530146985302	4818.418158184182	18873008	21770	3839145	2797.220277972203	4.099590040995901	520.9479052094791	65293061	709	1	501	0	3721	0	0.4999500049995001	160120	2123	0	0
0	1024	0	1021	386	512	0	23	0	0	66409	34552637	9.544586855740388	4638.760112717026	18900173	21797	3844433	2469.3209708208346	2.4543223343332428	480.68357422052543	65384642	704	1	557	0	3727	0	0.545404963185165	160601	2512	0	0
0	1024	0	1021	395	879	0	10	100	0	66525	34608583	11.598840115988402	5594.040595940406	18930673	21829	3849458	3049.6950304969505	3.1996800319968006	502.44975502449756	65486090	700	1	551	0	3734	0	0.6999300069993001	162537	395	0	0
0	1024	0	1017	386	654	0	10	0	0	66617	34655141	9.199080091990801	4655.334466553345	18956910	21861	3854793	2623.437656234377	3.1996800319968006	533.4466553344665	65574225	703	1	528	0	3746	0	1.1998800119988002	159951	1088	0	0
0	1024	0	1021	396	743	0	19	3	0	66706	34707148	6.832194634227628	4960.673221129811	18985383	21896	3859989	2638.226962172971	3.499416763872688	492.751208131978	65670532	704	0	557	0	3752	0	0.6665555740709881	162375	2128	0	0
0	1024	0	1022	394	627	0	28	11	0	66794	34749541	8.799120087991202	4238.876112388762	19008803	21924	3865026	2341.7658234176583	2.7997200279972003	503.64963503649636	65753365	718	1	511	0	3754	0	0.19998000199980004	156679	115	0	0
0	1024	166	856	313	612	0	13	79	0	66870	34803419	7.599240075992401	5387.261273872613	19038641	21958	3870308	2983.5016498350165	3.3996600339966005	528.1471852814719	65854470	705	0	532	0	3759	0	0.4999500049995001	158246	696	0	0
