name	subsystem	count	max_count	min_count	avg_count
buffer_pool_read_ahead_evicted	buffer	3561	3561	NULL	0.07208356106151698
buffer_pages_created	buffer	20981	20981	NULL	0.4247080018623105
buffer_pages_written	buffer	3724928	3724928	NULL	75.40187445598268
buffer_pages_read	buffer	18189400	18189400	NULL	368.19902431124876
buffer_data_reads	buffer	298017017856	298017017856	NULL	6032611.037347422
buffer_data_written	buffer	122824482816	122824482816	NULL	2486275.2336187526
os_data_reads	os	18154331	18154331	NULL	367.48913989595354
os_data_writes	os	4210289	4210289	NULL	85.22679702840024
os_data_fsyncs	os	950801	950801	NULL	19.246594198498006
os_log_bytes_written	os	765071872	765071872	NULL	15486.971356855125
os_log_fsyncs	os	139399	139399	NULL	2.8217849841096334
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1900440	1900440	NULL	38.46966660593915
log_writes	recovery	138409	138409	NULL	2.801744903949313
adaptive_hash_searches	adaptive_hash_index	69505	69505	NULL	1.406955324790996
ibuf_merges_insert	change_buffer	603412	603412	NULL	12.214570555251917
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
ibuf_merges_discard_insert	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_discard_delete	change_buffer	0	0	NULL	0
ibuf_merges	change_buffer	524460	524460	NULL	10.616384283718952
ibuf_size	change_buffer	17	269	NULL	0.0003441225886115666
innodb_activity_count	server	6126969	6126969	NULL	124.0252019189895
innodb_dblwr_writes	server	523062	523062	NULL	10.588085261431955
innodb_dblwr_pages_written	server	3725028	3725028	NULL	75.40389870650392
innodb_rwlock_s_spin_waits	server	1805638	1805638	NULL	36.55063662678893
innodb_rwlock_x_spin_waits	server	65240	65240	NULL	1.3206210400599179
innodb_rwlock_s_spin_rounds	server	75001168	75001168	NULL	1518.2115341794702
innodb_rwlock_x_spin_rounds	server	7519234	7519234	NULL	152.20813343859436
innodb_rwlock_s_os_waits	server	2311918	2311918	NULL	46.79901216574563
innodb_rwlock_x_os_waits	server	234911	234911	NULL	4.755187141960689
dml_reads	dml	5677342	5677342	NULL	114.92362502783344
dml_inserts	dml	664840	664840	NULL	13.458027165441996
dml_deletes	dml	51063	51063	NULL	1.0336430436630837
dml_updates	dml	1328931	1328931	NULL	26.900892694479868
lock_row_lock_current_waits	lock	1	5	NULL	0.00002023840845155937
lock_row_lock_time	lock	3662830	3662830	NULL	74.12984962862521
lock_row_lock_waits	lock	1108	1108	NULL	0.02242415656432778
buffer_pool_reads	buffer	17720760	17720760	NULL	358.63997895205523
buffer_pool_read_requests	buffer	63072011	63072011	NULL	1276.4771204792455
buffer_pool_write_requests	buffer	10412427	10412427	NULL	210.73095059804496
buffer_pool_wait_free	buffer	487522	487522	NULL	9.866669365121126
buffer_pool_read_ahead	buffer	0	0	NULL	0
buffer_pool_read_ahead_evicted	buffer	3569	3569	NULL	0.07223087976361539
buffer_pages_created	buffer	21020	21020	NULL	0.42541134565177796
buffer_pages_written	buffer	3729826	3729826	NULL	75.48574204124587
buffer_pages_read	buffer	18220882	18220882	NULL	368.761652263666
buffer_data_reads	buffer	298532786176	298532786176	NULL	6041828.4628119245
buffer_data_written	buffer	122986037248	122986037248	NULL	2489041.6556637185
os_data_reads	os	18185809	18185809	NULL	368.05183056404445
os_data_writes	os	4215616	4215616	NULL	85.3173584829289
os_data_fsyncs	os	951805	951805	NULL	19.263018356236465
os_log_bytes_written	os	766127616	766127616	NULL	15505.20361862743
os_log_fsyncs	os	139598	139598	NULL	2.825241343020785
os_log_pending_fsyncs	os	0	1	0	0
os_log_pending_writes	os	0	1	0	0
log_waits	recovery	0	0	NULL	0
log_write_requests	recovery	1902762	1902762	NULL	38.50887454210601
log_writes	recovery	138605	138605	NULL	2.8051446034283862
adaptive_hash_searches	adaptive_hash_index	69780	69780	NULL	1.4122361417498128
ibuf_merges_insert	change_buffer	603524	603524	NULL	12.214365222318916
ibuf_merges_delete_mark	change_buffer	0	0	NULL	0
ibuf_merges_delete	change_buffer	0	0	NULL	0
